Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0,0,0,0,0,0
ave_g,0.253509369328768,0.249012109380084,0.282065089262128,0.30616339502491,0.167501416733255,0.176555066800612
std_g,0.0118252480793778,0.0131820019631928,0.0112162337722882,0.0328223630088948,0.00490828838231427,0.0171127352604681
C,1048576,1048576,1048576,1048576,1048576,1048576
L,500,500,500,500,500,500
eta,128,NaN,NaN,NaN,NaN,128
lambda,0,NaN,NaN,NaN,NaN,NaN
